"Variable","BM","OU","EB","ARD","ER","ACDC"
"Beak.Length_Culmen",7695.18308743561,6860.00147607829,7697.18609466738,7653.17395142971,7697.1830874311,6562.83493182675
"Beak.Length_Nares",6664.76435079037,6479.47784531591,6666.7667612524,6631.56260677439,6666.76435076877,6239.41234883816
"Beak.Width",5030.57579976245,5029.10621020845,5032.57651275359,5030.74193087999,5032.57579969128,4891.66255497182
"Beak.Depth",4664.50258978276,4641.7503965346,4666.50414274969,4655.61377303587,4666.50258976291,4297.11969798709
"Tarsus.Length",5930.89504581898,5804.40311119935,5932.89727723798,5901.15172714784,5932.89504574548,5591.05144430326
"Wing.Length",9044.73482652938,8780.46892818052,9046.73733903952,9010.43600696502,9046.73482652677,8507.94480972247
"Kipps.Distance",8295.95127216059,8032.30108834409,8297.95382567467,8260.87940061684,8297.95127215773,7758.16878291808
"Secondary1",7902.79759635265,7815.53954394597,7904.79970102846,7877.91759732942,7904.79759633823,7433.77476080074
"Tail.Length",8658.2652823374,8513.36702687956,8660.26737913627,8630.15330868072,8660.26528233448,8398.43544191941
"Mass",10133.2056170632,10135.2056170632,10130.9612764703,10132.0224772839,10135.2056170619,10118.3073582457
